Locality,Latitude,Longitude,Unit,Plane Type,strike,dip,altitude (m)
4-9-19-7,32.052031,104.145891,S,Cleavage,104,85,991.562734
4-9-19-8,32.0612,104.141923,S,Cleavage,82,89,1038.355721
4-9-19-8,32.060964,104.142221,D,Bedding,70,88,1038.355721
4-9-19-8,32.059838,104.143573,D,Fault,78,52,1063.618782
4-9-19-8,32.059891,104.143812,D,Axial plane,77,69,1075.260017
4-9-19-8,32.059764,104.143891,D,Axial plane,85,65,1068.846199
4-9-19-8,32.060148,104.144088,D,Bedding,44,87,1078.938362
4-9-19-9,32.071138,104.138615,S,Cleavage,68,69,1128.069099
4-9-19-10,32.078172,104.130602,S,Cleavage,108,83,1170.032967
4-9-19-10,32.078184,104.130594,S,Cleavage,103,77,1167.161385
4-9-19-11,32.091499,104.09863,S,Cleavage,71,89,1519.986927
4-9-19-12,32.093661,104.098423,S,Cleavage,76,80,1465.643055
4-9-19-12,32.093641,104.098423,D,Bedding,81,83,1475.043446
4-9-19-12,32.09356,104.09905,S,Cleavage,74,88,1532.081165
4-9-19-12,32.093601,104.098466,D,Bedding,239,83,1478.550526
4-9-19-13,32.095524,104.095986,S,Cleavage,257,85,1508.965687
4-9-19-13,32.095522,104.096135,S,Bedding,180,62,1510.07555
4-9-19-13,32.095493,104.096115,S,Bedding,187,60,1515.692371
4-9-19-13,32.095478,104.096056,S,Bedding,155,30,1521.524403
4-9-19-13,32.095624,104.096293,S,Cleavage,72,85,1507.122547
4-9-19-14,32.096238,104.095769,D,Cleavage,42,63,1526.906497
4-9-19-14,32.096161,104.095555,D,Axial plane,55,73,1527.412575
4-9-19-14,32.096234,104.09563,D,Fault,32,81,1527.826405
4-9-19-14,32.096186,104.095596,Fault,Fault,103,41,1524.083118
4-9-19-14,32.096295,104.095564,D,Axial plane,207,88,1516.374622
4-9-19-14,32.096302,104.095582,D,Axial plane,37,63,1519.37682
4-9-19-14,32.096097,104.095492,D,Bedding,70,58,1513.04137
4-9-19-14,32.096065,104.095453,D,Bedding,56,65,1517.90807
4-9-19-15,32.096712,104.095015,S,Cleavage,68,63,1535.171757
4-9-19-15,32.096477,104.095085,S,Cleavage,50,81,1532.420211
4-9-19-16,32.09473,104.100058,S,Cleavage,249,88,1442.287849
4-9-19-16,32.094441,104.100124,S,Cleavage,247,83,1467.178841
4-9-19-16,32.094208,104.099644,Fault,Fault,57,86,1461.151863
4-9-19-16,32.094444,104.100147,D,Bedding,91,90,1460.935188
4-9-19-17,32.093544,104.104151,S,Axial plane,31,89,1369.227791
4-9-19-17,32.093534,104.104135,S,Axial plane,184,80,1365.425179
4-9-19-18,32.086712,104.114343,D,Bedding,194,31,1260.105843
4-9-19-18,32.088077,104.112672,S,Cleavage,222,76,1289.673714
4-9-19-18,32.088761,104.111159,S,Cleavage,232,83,1294.27784
4-9-19-18,32.088758,104.111157,S,Cleavage,220,83,1293.478767
4-9-19-18,32.090694,104.109377,Fault,Fault,152,55,1341.250618
4-9-19-18,32.090703,104.109332,Fault,Fault,163,51,1340.852791
4-9-19-18,32.090703,104.109332,Fault,Fault,159,53,1340.852791
4-9-19-18,32.090648,104.109473,Fault,Fault,147,57,1345.283943
4-9-19-18,32.090705,104.109385,Fault,Fault,158,78,1336.867928
4-9-19-18,32.090689,104.109324,Fault,Fault,137,49,1315.266928
4-9-19-18,32.090673,104.109276,Fault,Fault,128,51,1315.010871
4-9-19-18,32.090704,104.109292,D,Bedding,273,60,1314.797945
4-9-19-18,32.090993,104.108745,S,Axial plane,84,70,1319.563597
4-9-19-19,32.063953,104.16188,S,Cleavage,84,84,968.422493
4-9-19-19,32.063228,104.162047,S,Cleavage,114,61,966.22657
4-9-19-19,32.061695,104.162996,S,Cleavage,47,63,966.413826
4-9-19-19,32.058106,104.163974,S,Cleavage,245,75,948.778708
4-9-19-19,32.058269,104.163935,S,Cleavage,260,85,950.41758
4-9-19-19,32.052033,104.166448,S,Cleavage,232,87,928.821663
4-9-19-20,32.075081,104.162016,S,Cleavage,89,84,982.71656
4-9-19-20,32.068033,104.162473,S,Cleavage,60,81,973.767952
4-9-19-21,32.089722,104.168368,D,Bedding,255,89,1008.745735
4-9-19-21,32.088781,104.168517,Fault,Axial plane,251,89,1015.210823
4-9-19-21,32.088841,104.168202,Fault,Fault,81,52,1037.761238
4-9-19-21,32.088546,104.168645,Fault,Fault,237,79,1016.596321
4-9-19-21,32.088574,104.168643,Fault,Fault,241,62,1019.613655
4-9-19-21,32.088581,104.168482,Fault,Fault,221,67,1030.752083
4-9-19-21,32.088578,104.168432,Fault,Fault,221,67,1031.658943
4-9-19-21,32.087941,104.168456,D,Bedding,231,81,1019.474007
4-9-19-21,32.087669,104.168664,D,Bedding,69,82,1015.060188
4-9-19-21,32.087758,104.168553,D,Axial plane,53,62,1023.165169
4-9-19-21,32.08791,104.168472,D,Bedding,61,79,1013.853035
4-9-19-21,32.087919,104.168481,D,Bedding,241,82,1013.004036
4-9-19-21,32.087913,104.168485,D,Bedding,83,83,1016.516731
4-9-19-21,32.087947,104.168488,D,Axial plane,67,86,1022.096199
4-9-19-21,32.087983,104.168476,D,Axial plane,56,86,1030.67701
4-9-19-21,32.087891,104.168435,D,Bedding,73,73,1012.665901
4-9-19-21,32.088043,104.168408,D,Bedding,251,62,1022.619514
4-9-19-21,32.088214,104.168556,D,Axial plane,71,81,1009.945442
4-9-19-21,32.088202,104.168535,D,Axial plane,99,89,1013.890511
4-9-19-21,32.088199,104.168524,D,Axial plane,266,89,1007.676888
4-9-19-21,32.088206,104.168486,D,Axial plane,64,89,1004.829964
4-9-19-21,32.088206,104.168486,D,Axial plane,83,78,1004.829964
4-9-19-22,32.108027,104.150608,D,Bedding,62,89,1011.225202
4-9-19-22,32.107986,104.150648,D,Bedding,58,84,1008.123077
4-9-19-22,32.107751,104.151037,Fault,Fault,58,78,1025.494331
4-9-19-22,32.103451,104.159584,S,Cleavage,235,88,998.879984
4-10-19-1,32.121038,104.154462,S,Cleavage,66,68,1040.335037
4-10-19-1,32.120833,104.154431,S,Cleavage,91,80,1038.193428
4-10-19-2,32.128341,104.150851,S,Bedding,359,82,1207.624878
4-10-19-2,32.12828,104.149464,S,Cleavage,78,81,1050.698677
4-10-19-2,32.127447,104.149723,S,Cleavage,96,89,1044.898628
4-10-19-2,32.127442,104.149721,S,Cleavage,100,86,1046.279488
4-10-19-3,32.13253,104.146836,S,Cleavage,265,89,1156.079048
4-10-19-3,32.132953,104.147451,Fault,Fault,68,75,1079.469673
4-10-19-3,32.133082,104.147825,S,Cleavage,271,89,1091.414497
4-10-19-3,32.133314,104.148181,S,Cleavage,280,87,1102.91584
4-10-19-3,32.132755,104.14751,S,Axial plane,257,85,1097.848213
4-10-19-3,32.133008,104.147807,S,Axial plane,250,86,1079.641304
4-10-19-4,32.137343,104.14666,S,Cleavage,97,81,1057.958443
4-10-19-4,32.137134,104.146616,S,Cleavage,280,82,1075.901314
4-10-19-5,32.150444,104.138537,S,Cleavage,126,78,1095.937691
4-10-19-5,32.145179,104.142426,S,Cleavage,85,88,1060.505318
4-10-19-5,32.144741,104.142515,S,Cleavage,283,84,1081.460762
4-10-19-5,32.144261,104.14294,Fault,Fault,225,42,1110.392281
4-10-19-6,32.161175,104.138125,Fault,Fault,102,60,1133.029366
4-10-19-6,32.161019,104.138006,Fault,Fault,128,61,1138.210518
4-10-19-6,32.161175,104.138361,D,Bedding,272,89,1153.68708
4-10-19-6,32.159211,104.136698,Fault,Fault,130,68,1109.963326
4-10-19-6,32.159216,104.136692,Fault,Fault,125,70,1101.948921
4-10-19-6,32.159223,104.136724,D,Bedding,302,89,1105.649849
4-10-19-7,32.169106,104.113427,D,Bedding,56,89,1184.099556
4-10-19-7,32.168763,104.116478,D,Bedding,33,80,1137.066841
4-10-19-7,32.168543,104.117767,D,Bedding,112,85,1141.6623
4-10-19-7,32.169514,104.120547,D,Bedding,211,57,1129.739204
4-10-19-7,32.169567,104.120555,D,Bedding,214,77,1133.796089
4-10-19-8,32.186163,104.104173,Fault,Fault,247,34,1190.178613
4-10-19-8,32.186205,104.104239,D,Bedding,201,78,1190.302552
4-10-19-8,32.184496,104.105199,D,Cleavage,21,78,1188.999092
4-10-19-8,32.184485,104.105092,D,Cleavage,25,80,1193.263496
4-10-19-9,32.185617,104.101542,D,Foliation,23,77,1257.383247
4-10-19-9,32.185617,104.101542,D,Foliation,27,85,1257.383247
4-10-19-9,32.185617,104.101542,Fault,Fault,6,74,1257.383247
4-10-19-9,32.185617,104.101542,Fault,Fault,335,44,1257.383247
4-10-19-9,32.185617,104.101542,Fault,Joint,339,49,1257.383247
4-10-19-9,32.185617,104.101542,Fault,Fault,318,56,1257.383247
4-10-19-9,32.184995,104.101285,D,Cleavage,18,71,1304.595039
4-10-19-9,32.185256,104.101858,D,Cleavage,13,75,1236.978096
4-10-19-9,32.185256,104.101858,Fault,Fault,61,82,1236.978096
4-10-19-9,32.185222,104.101867,Fault,Fault,241,86,1232.844429
4-10-19-9,32.185188,104.10188,Fault,Fault,343,82,1233.795357
4-10-19-9,32.18524,104.101928,Fault,Fault,67,79,1232.742075
4-10-19-9,32.185236,104.101926,Fault,Fault,344,77,1232.178777
4-10-19-9,32.185224,104.101921,Fault,Fault,326,85,1232.73728
4-10-19-9,32.185241,104.101935,Fault,Fault,334,76,1233.518234
4-10-19-9,32.18522,104.101904,Fault,Fault,336,75,1231.481432
4-11-19-1,32.187658,104.10031,Fault,Fault,318,35,1270.860646
4-11-19-1,32.187664,104.100252,Fault,Fault,333,59,1270.753609
4-11-19-3,32.193803,104.094786,D,Axial plane,32,48,1333.95493
4-11-19-3,32.193803,104.094786,D,Axial plane,36,44,1333.95493
4-11-19-3,32.193803,104.094786,D,Axial plane,17,60,1333.95493
4-11-19-3,32.193803,104.094786,D,Bedding,39,37,1333.95493
4-11-19-3,32.193803,104.094786,D,Bedding,12,43,1333.95493
4-11-19-3,32.193803,104.094786,D,Axial plane,358,36,1333.95493
4-11-19-3,32.193803,104.094786,D,Cleavage,9,51,1333.95493
4-11-19-3,32.193793,104.094782,D,Cleavage,339,29,1329.826113
4-11-19-4,32.201875,104.081853,D,Bedding,22,68,1411.099868
4-11-19-4,32.198886,104.085763,D,Bedding,309,56,1413.006642
4-11-19-4,32.198914,104.08585,D,Bedding,326,62,1412.720576
4-11-19-4,32.198883,104.085859,D,Bedding,30,57,1412.697571
4-11-19-4,32.197758,104.090571,D,Bedding,353,74,1368.832099
4-11-19-4,32.197758,104.090571,D,Axial plane,356,69,1368.832099
4-11-19-5,32.202293,104.071635,C,Bedding,11,71,1453.37006
4-11-19-6,32.20198,104.062637,D,Cleavage,243,87,1517.091782
4-11-19-6,32.20198,104.062637,D,Cleavage,203,88,1517.091782
4-11-19-6,32.20198,104.062637,D,Cleavage,193,79,1517.091782
4-11-19-6,32.20198,104.062637,Fault,Fault,182,71,1517.091782
4-11-19-6,32.20198,104.062637,Fault,Fault,182,75,1517.091782
4-11-19-6,32.20198,104.062637,Fault,Fault,182,53,1517.091782
4-11-19-6,32.20198,104.062637,Fault,Fault,179,70,1517.091782
4-11-19-6,32.20198,104.062637,Fault,Fault,264,89,1517.091782
4-11-19-6,32.20198,104.062637,Fault,Fault,267,83,1517.091782
4-11-19-7,32.199318,104.054078,Fault,Fault,182,54,1369.932438
4-11-19-7,32.202126,104.055094,D,Cleavage,185,80,1366.919498
4-11-19-7,32.2021,104.055024,D,Cleavage,25,76,1382.029362
4-11-19-7,32.200905,104.05723,D,Cleavage,203,83,1440.890789
4-11-19-8,32.192604,104.115707,D,Bedding,18,45,1242.869698
4-11-19-8,32.189018,104.113829,Fault,Fault,359,60,1246.566337
4-11-19-8,32.189027,104.113786,Fault,Fault,359,74,1247.770332
4-11-19-8,32.189052,104.113811,Fault,Fault,157,82,1245.383492
4-11-19-8,32.189052,104.113774,Fault,Fault,357,64,1250.30378
4-11-19-8,32.189019,104.113824,D,Fault,88,38,1240.985664
4-11-19-9,32.19627,104.113497,Fault,Fault,166,77,1269.284476
4-11-19-9,32.196279,104.113512,Fault,Fault,178,68,1270.086373
4-11-19-9,32.196224,104.113549,D,Bedding,359,59,1269.719451
4-11-19-9,32.196239,104.113567,D,Axial plane,5,68,1271.816892
4-11-19-9,32.196249,104.113549,D,Bedding,30,55,1272.639095
4-11-19-10,32.210165,104.11066,D,Bedding,39,68,1248.052767
4-11-19-10,32.207833,104.11094,D,Foliation,358,76,1243.342447
4-11-19-10,32.207605,104.111027,Fault,Fault,350,88,1243.131941
4-11-19-10,32.207606,104.111026,Fault,Fault,158,86,1243.230544
4-11-19-10,32.20751,104.111076,Fault,Fault,60,74,1243.472226
4-11-19-10,32.207475,104.110982,Fault,Fault,157,71,1241.371448
4-11-19-10,32.20751,104.111083,Fault,Fault,162,73,1242.423263
4-11-19-10,32.207512,104.11109,Fault,Fault,156,76,1241.966945
4-11-19-10,32.207532,104.111145,Fault,Fault,62,73,1241.449477
4-11-19-10,32.2075,104.111184,Fault,Fault,19,83,1241.134069
4-11-19-10,32.207508,104.111241,Fault,Fault,6,70,1239.795617
4-11-19-10,32.207528,104.111177,Fault,Fault,62,83,1242.621231
4-11-19-10,32.207476,104.111205,Fault,Fault,333,76,1243.063295
4-11-19-10,32.207473,104.111228,Fault,Fault,336,83,1241.937642
4-11-19-10,32.20751,104.111317,Fault,Fault,341,60,1240.43896
4-11-19-10,32.207588,104.111459,Fault,Fault,332,89,1241.017232
4-11-19-10,32.207563,104.111508,D,Cleavage,345,70,1241.940672
4-11-19-10,32.207583,104.111599,Fault,Fault,56,87,1240.344963
4-11-19-10,32.2075,104.111576,Fault,Fault,333,79,1240.212302
4-11-19-10,32.207498,104.111582,Fault,Fault,335,86,1239.75903
4-11-19-10,32.207498,104.111582,Fault,Fault,341,83,1239.75903
4-11-19-10,32.207498,104.111582,Fault,Fault,330,88,1239.75903
4-11-19-10,32.207489,104.111615,Fault,Fault,338,85,1239.208298
4-11-19-10,32.207483,104.111585,Fault,Fault,38,73,1239.241313
4-11-19-10,32.207476,104.111555,Fault,Fault,323,86,1238.526882
4-11-19-10,32.207445,104.111469,D,Cleavage,38,71,1236.662874
4-11-19-10,32.207353,104.111377,D,Cleavage,355,68,1237.018109
4-11-19-10,32.203098,104.113194,D,Bedding,20,60,1243.87675
4-11-19-11,32.22559,104.108678,D,Bedding,58,56,1277.40378
4-11-19-11,32.225612,104.108649,D,Bedding,20,81,1275.64521
4-11-19-12,32.22877,104.113278,D,Cleavage,0,31,1371.728661
4-11-19-12,32.229121,104.111679,Fault,Fault,340,75,1292.925109
4-11-19-12,32.229137,104.111306,Fault,Fault,340,79,1291.167071
4-11-19-12,32.22897,104.111226,D,Cleavage,9,75,1291.219248
4-11-19-12,32.228959,104.111196,D,Cleavage,338,69,1290.023944
4-11-19-12,32.228966,104.111217,D,Cleavage,355,77,1290.239629
4-11-19-13,32.136469,104.145265,Fault,Fault,234,64,1213.277331
4-11-19-13,32.136467,104.145225,Fault,Fault,241,65,1213.200996
4-11-19-13,32.136446,104.14513,Fault,Fault,231,89,1204.46711
4-11-19-13,32.136399,104.145297,Fault,Fault,198,36,1207.542793
4-11-19-13,32.136363,104.145265,S,Cleavage,280,89,1211.138863
4-11-19-13,32.136077,104.14513,S,Cleavage,110,89,1208.953194
4-11-19-13,32.135577,104.14491,S,Cleavage,82,66,1194.298286
4-11-19-14,32.121761,104.132981,Fault,Fault,270,83,1256.008492
4-11-19-14,32.121761,104.132981,Fault,Fault,288,82,1256.008492
4-11-19-14,32.121761,104.132981,Fault,Fault,272,86,1256.008492
4-11-19-14,32.121593,104.133003,Fault,Fault,264,71,1256.276924
4-11-19-14,32.121622,104.132779,Fault,Fault,220,65,1251.842476
4-11-19-14,32.117811,104.1387,S,Cleavage,248,72,1181.004341
4-11-19-14,32.117799,104.13877,S,Cleavage,244,77,1182.2696
4-11-19-14,32.124452,104.1386,S,Cleavage,359,83,1204.585449
4-12-19-1,31.836175,104.224015,S,Foliation,252,49,807.363819
4-12-19-1,31.836104,104.224096,S,Foliation,270,53,806.627859
4-12-19-1,31.838461,104.235409,S,Foliation,260,43,798.220411
4-12-19-1,31.8368,104.248408,S,Foliation,250,62,817.924873
4-12-19-1,31.836023,104.249016,S,Foliation,257,51,813.635567
4-12-19-1,31.836749,104.252517,S,Foliation,269,42,797.773872
4-12-19-1,31.837528,104.257211,S,Foliation,252,51,799.652901
4-12-19-1,31.838223,104.263221,S,Foliation,244,52,796.1092
4-12-19-1,31.846366,104.269513,Fault,Fault,275,72,788.848213
4-12-19-1,31.8463,104.269511,S,Cleavage,237,46,792.112251
4-12-19-1,31.859992,104.282447,S,Cleavage,281,48,762.919502
4-12-19-1,31.859993,104.28248,S,Foliation,275,34,763.257027
4-12-19-2,31.811406,104.166899,S,Cleavage,238,62,896.366516
4-12-19-2,31.804896,104.166938,S,Cleavage,246,57,881.080383
4-12-19-2,31.805078,104.16668,Fault,Fault,49,84,902.351135
4-12-19-2,31.804733,104.167402,Fault,Fault,237,57,892.279114
4-12-19-2,31.805093,104.166653,S,Foliation,274,33,891.747864
4-12-19-2,31.804317,104.17601,S,Foliation,252,72,870.263977
4-12-19-2,31.821298,104.198603,S,Foliation,247,59,842.614929
4-12-19-3,31.831026,104.159103,Fault,Fault,284,63,919.532166
4-12-19-3,31.831076,104.159101,Fault,Fault,3,64,918.877502
4-12-19-3,31.831076,104.159101,Fault,Fault,336,69,918.877502
4-12-19-3,31.831076,104.159101,Fault,Fault,1,79,918.877502
4-12-19-3,31.831076,104.159101,Fault,Fault,250,60,918.877502
4-12-19-3,31.830995,104.159189,S,Foliation,224,55,916.590881
4-12-19-3,31.830992,104.159231,S,Cleavage,227,68,915.937317
4-12-19-4,31.835856,104.157314,S,Cleavage,222,88,929.417559
4-12-19-4,31.835856,104.157314,S,Cleavage,223,88,929.417559
4-12-19-4,31.835856,104.157314,S,Cleavage,61,87,929.417559
4-12-19-4,31.835856,104.157314,S,Cleavage,209,70,929.417559
4-12-19-4,31.835856,104.157314,S,Cleavage,198,62,929.417559
4-12-19-5,31.846174,104.155432,S,Cleavage,249,80,939.159241
4-12-19-6,31.870307,104.13919,S,Cleavage,262,67,963.597473
4-12-19-6,31.860581,104.146754,S,Cleavage,201,86,952.063661
4-12-19-7,31.885417,104.131195,S,Cleavage,243,59,969.643372
4-12-19-7,31.885327,104.131173,S,Cleavage,222,60,967.812317
4-12-19-7,31.882469,104.131412,S,Cleavage,259,72,952.848816
4-12-19-8,31.900801,104.107813,S,Foliation,265,87,1007.886543
4-12-19-8,31.90111,104.107742,S,Cleavage,275,79,993.711121
4-12-19-8,31.893731,104.115988,S,Cleavage,283,74,989.492084
4-12-19-8,31.89334,104.116033,S,Cleavage,286,65,989.909117
4-12-19-9,31.9143,104.071297,S,Cleavage,254,75,1041.4496
4-12-19-9,31.914325,104.071409,S,Cleavage,289,74,1037.601456
4-12-19-9,31.907385,104.081596,S,Cleavage,263,80,1032.887344
4-12-19-10,31.923825,104.075729,S,Cleavage,262,80,1040.023331
4-12-19-10,31.916986,104.071744,S,Cleavage,298,82,1044.547867
4-12-19-10,31.916951,104.071397,Fault,Fault,144,58,1065.448135
4-12-19-10,31.916945,104.071431,Fault,Fault,135,68,1066.273819
4-12-19-10,31.916625,104.0708,Fault,Fault,21,71,1174.167984
4-12-19-10,31.916795,104.070573,Fault,Fault,51,84,1226.788101
4-12-19-11,31.943653,104.074972,S,Cleavage,290,80,1081.835587
4-12-19-11,31.943671,104.07511,S,Cleavage,291,79,1082.860367
4-12-19-11,31.943477,104.075173,Fault,Fault,144,68,1082.450943
4-12-19-11,31.94347,104.075257,Fault,Fault,142,74,1084.459732
4-12-19-11,31.943474,104.075247,Fault,Fault,137,72,1084.968399
4-12-19-12,31.947143,104.071245,S,Cleavage,113,80,1078.931412
4-12-19-12,31.947011,104.071464,S,Cleavage,117,63,1099.919815
4-12-19-13,31.969755,104.068171,S,Cleavage,249,63,1116.049332
4-12-19-14,31.984996,104.060473,S,Cleavage,236,78,1133.493057
4-12-19-14,31.97725,104.064731,S,Cleavage,90,88,1119.365616
4-12-19-14,31.977039,104.064908,S,Cleavage,111,82,1121.702652
4-12-19-15,32.00194,104.046822,S,Cleavage,190,78,1173.637684
4-12-19-15,32.002047,104.046728,S,Foliation,310,89,1176.918446
4-12-19-15,32.001874,104.046765,S,Cleavage,178,83,1177.533924
4-12-19-15,31.998434,104.051382,S,Cleavage,300,86,1148.984904
4-12-19-15,31.998533,104.051351,Fault,Fault,140,88,1150.707456
4-12-19-15,31.998576,104.051339,Fault,Fault,128,84,1151.783644
4-12-19-15,31.998445,104.051489,S,Foliation,315,86,1156.369522
4-12-19-15,31.990374,104.057282,S,Cleavage,245,71,1124.037247
4-12-19-16,32.012245,104.031794,S,Cleavage,245,64,1196.921131
4-12-19-16,32.012259,104.031835,S,Cleavage,163,68,1198.930408
4-12-19-16,32.011558,104.0319,Fault,Fault,301,77,1200.42223
4-12-19-16,32.011926,104.031868,Fault,Fault,14,48,1199.313099
4-12-19-16,32.011999,104.031579,Fault,Fault,312,69,1195.652821
4-12-19-16,32.011889,104.03188,Fault,Fault,199,47,1190.940296
4-12-19-16,32.011982,104.032212,Fault,Fault,314,85,1202.417103
4-12-19-16,32.011979,104.032217,Fault,Cleavage,315,89,1205.642811
4-12-19-16,32.011929,104.032302,S,Cleavage,208,86,1209.571156
4-12-19-17,32.021305,104.021854,D,Cleavage,187,86,1223.715203
4-12-19-17,32.021352,104.021865,D,Bedding,197,52,1224.014217
4-12-19-17,32.021312,104.021772,D,Cleavage,9,87,1224.497175
4-12-19-17,32.021252,104.021796,S,Cleavage,202,84,1224.166061
4-12-19-18,32.023573,104.017856,D,Foliation,170,85,1239.115833
4-12-19-18,32.023361,104.018041,D,Cleavage,164,85,1236.587879
4-12-19-18,32.023384,104.018172,D,Cleavage,36,88,1227.438587
4-12-19-18,32.02279,104.019229,Fault,Fault,140,71,1275.231068
4-12-19-18,32.02279,104.019229,Fault,Fault,156,80,1275.231068
4-12-19-18,32.022705,104.019416,Fault,Fault,39,83,1268.56432
4-12-19-18,32.022785,104.019423,Fault,Fault,9,83,1245.687733
4-12-19-18,32.022967,104.019248,D,Cleavage,357,86,1236.458702
4-12-19-19,32.036605,104.009803,D,Bedding,133,89,1275.794178
4-12-19-19,32.036605,104.009803,D,Cleavage,340,81,1275.794178
4-12-19-20,32.044281,104.010197,Fault,Fault,222,31,1310.211903
4-12-19-20,32.044271,104.01007,D,Axial plane,3,89,1324.897572
4-12-19-20,32.044172,104.010297,D,Axial plane,358,87,1312.384266
4-12-19-20,32.044077,104.010288,D,Bedding,154,89,1314.816517
4-12-19-21,32.053937,103.998919,D,Cleavage,207,89,1354.346424
4-12-19-21,32.053914,103.998908,D,Cleavage,204,89,1354.151112
4-12-19-21,32.045783,104.006631,Fault,Fault,318,85,1341.864735
4-12-19-21,32.045814,104.007149,D,Cleavage,13,70,1341.331409
4-12-19-21,32.045754,104.007192,D,Cleavage,20,70,1339.812489
4-12-19-21,32.045799,104.007197,D,Axial plane,347,65,1342.143055
4-12-19-21,32.04586,104.007251,D,Bedding,336,74,1346.49889
4-12-19-21,32.045636,104.007426,Fault,Fault,166,78,1333.802967
4-12-19-22,32.064274,103.981401,D,Cleavage,37,83,1485.186047
4-12-19-22,32.057881,103.990954,D,Cleavage,205,87,1426.278576
4-13-19-1,31.798412,104.159809,S,Foliation,241,63,903.67593
4-13-19-1,31.798525,104.159891,S,Foliation,237,61,904.999084
4-13-19-2,31.797956,104.150415,S,Cleavage,253,68,932.215359
4-13-19-3,31.770909,104.096112,S,Cleavage,240,66,1035.836441
4-13-19-3,31.77203,104.094372,S,Cleavage,259,57,1021.521255
4-13-19-3,31.77173,104.094728,S,Foliation,250,66,1027.378433
4-13-19-3,31.790708,104.116154,S,Foliation,235,89,988.472927
4-13-19-4,31.75586,103.993926,Fault,Fault,278,81,1270.737881
4-13-19-4,31.755883,103.993809,Fault,Fault,273,87,1251.467373
4-13-19-4,31.755737,103.993896,S,Cleavage,269,61,1260.498867
4-13-19-5,31.698388,103.866263,Fault,Axial plane,201,68,1633.103851
4-13-19-5,31.698388,103.866263,Fault,Axial plane,198,66,1633.103851
4-13-19-5,31.698347,103.866032,Fault,Fault,107,88,1634.255463
4-13-19-5,31.699228,103.868857,Fault,Fault,244,73,1653.864838
4-13-19-5,31.699228,103.868857,Fault,Fault,234,67,1653.864838
4-13-19-5,31.699228,103.868857,Fault,Fault,248,84,1653.864838
4-13-19-5,31.699228,103.868857,Fault,Fault,255,79,1653.864838
4-13-19-5,31.699228,103.868857,Fault,Fault,275,87,1653.864838
4-13-19-5,31.699228,103.868857,Fault,Fault,88,69,1653.864838
4-13-19-5,31.699228,103.868857,Fault,Fault,88,65,1653.864838
4-13-19-5,31.699228,103.868857,Fault,Fault,97,82,1653.864838
4-13-19-5,31.699228,103.868857,Fault,Fault,97,61,1653.864838
4-13-19-5,31.72567,103.928896,S,Cleavage,209,68,1606.535576
4-13-19-6,31.692215,103.832055,Fault,Fault,199,39,1782.896484
4-13-19-6,31.692187,103.832764,S,Cleavage,240,73,1745.546967
4-13-19-6,31.692352,103.833009,S,Axial plane,236,72,1737.907074
4-13-19-6,31.692044,103.832753,S,Cleavage,265,69,1718.93808
4-13-19-7,31.703229,103.850916,S,Foliation,244,69,1576.644186
4-13-19-7,31.703251,103.850884,Fault,Fault,27,43,1574.687107
4-13-19-7,31.703266,103.850928,Fault,Fault,21,54,1580.621311
4-13-19-7,31.703492,103.851154,S,Bedding,263,67,1575.589884
4-13-19-8,31.715446,103.852791,S,Cleavage,281,67,1570.307957
4-13-19-8,31.715481,103.852856,S,Cleavage,117,55,1567.717258
4-13-19-8,31.715377,103.852887,S,Cleavage,275,70,1573.219212
4-13-19-8,31.715025,103.85333,S,Foliation,259,67,1575.390232
4-13-19-8,31.714936,103.854136,S,Foliation,97,84,1598.268162
4-13-19-8,31.714943,103.853556,S,Bedding,214,79,1572.934666
4-13-19-8,31.714837,103.853119,S,Axial plane,65,89,1568.568577
4-13-19-8,31.71481,103.853123,S,Axial plane,260,70,1569.677586
4-13-19-8,31.7152,103.854204,S,Foliation,261,72,1546.259739
4-13-19-9,31.733761,103.844254,Cam,Foliation,100,78,1575.328831
4-13-19-9,31.733755,103.84441,S,Foliation,98,63,1575.358372
4-13-19-10,31.760635,103.822172,Cam,Foliation,295,50,1588.559145
4-13-19-10,31.760843,103.821871,Cam,Foliation,299,52,1582.949296
4-13-19-11,31.76595,103.809915,S,Foliation,249,85,1605.316999
4-13-19-11,31.765956,103.809904,Fault,Fault,247,71,1606.005556
4-13-19-11,31.765914,103.809934,Fault,Fault,255,70,1608.239611
4-13-19-11,31.765944,103.809989,Fault,Fault,217,62,1600.280613
4-13-19-11,31.765957,103.809898,Fault,Fault,257,71,1598.201267
4-13-19-11,31.766028,103.809913,Fault,Fault,256,79,1591.901463
4-13-19-12,31.783255,103.759563,Fault,Fault,262,64,1613.80232
4-13-19-12,31.783255,103.759563,S,Cleavage,231,82,1613.80232
4-13-19-12,31.78322,103.759513,S,Axial plane,226,78,1615.227583
4-14-19-1,32.170732,103.736242,Tr,Cleavage,76,10,2371.06532
4-14-19-1,32.170707,103.736237,Tr,Cleavage,75,23,2371.604476
4-14-19-1,32.17071,103.736226,Tr,Bedding,61,24,2370.897104
4-14-19-1,32.170746,103.736256,Tr,Cleavage,61,35,2369.489632
4-14-19-1,32.170737,103.736364,Tr,Bedding,59,23,2369.185643
4-14-19-2,32.179348,103.761964,Tr,Overturned bedding,32,40,2399.521799
4-14-19-2,32.176798,103.764401,Tr,Cleavage,310,28,2438.34448
4-14-19-2,32.176778,103.764413,Tr,Overturned bedding,7,21,2436.915333
